riot_id,name,engage,frontline,peel,disengage,pick_potential,poke,dps,burst,objective_control
266,Aatrox,2,4,2,1,2,1,4,3,2
103,Ahri,2,0,2,2,4,3,2,4,2
84,Akali,0,0,0,0,4,1,2,5,1
166,Akshan,0,0,1,1,3,3,4,3,3
12,Alistar,5,5,5,5,3,0,0,1,3
799,Ambessa,3,3,1,1,4,1,4,4,3
32,Amumu,5,4,3,2,2,0,2,3,4
34,Anivia,1,1,4,5,3,4,4,3,4
1,Annie,4,0,2,1,4,2,1,5,2
523,Aphelios,0,0,2,2,2,2,5,4,5
22,Ashe,5,0,4,4,5,4,4,1,3
136,Aurelion Sol,3,0,4,4,2,4,4,3,4
893,Aurora,3,0,2,3,3,3,3,4,3
268,Azir,3,0,5,5,2,4,5,3,5
432,Bard,3,1,4,5,4,3,1,2,3
200,Bel'Veth,1,2,1,0,2,0,5,3,5
53,Blitzcrank,3,3,4,2,5,0,0,2,3
63,Brand,1,0,2,2,2,4,4,4,5
201,Braum,2,4,5,5,2,1,1,0,3
233,Briar,3,3,2,3,3,0,5,3,4
51,Caitlyn,0,0,2,2,2,5,4,3,4
164,Camille,4,3,1,1,5,1,4,4,3
69,Cassiopeia,2,0,4,4,2,3,5,3,4
31,Cho'Gath,2,5,4,2,3,2,2,3,5
42,Corki,0,0,1,1,1,5,4,4,3
122,Darius,1,4,2,1,2,0,4,4,3
131,Diana,4,2,1,0,3,1,4,5,5
36,Dr. Mundo,0,5,1,1,1,2,3,2,3
119,Draven,0,0,1,2,1,2,5,4,4
245,Ekko,1,1,2,2,4,2,3,5,3
60,Elise,2,1,2,1,5,3,3,4,4
28,Evelynn,0,0,0,0,5,0,2,5,3
81,Ezreal,0,0,1,0,1,5,4,3,3
9,Fiddlesticks,4,1,3,3,3,1,4,5,5
114,Fiora,0,1,0,0,3,1,5,3,4
105,Fizz,2,0,1,0,4,2,2,5,1
3,Galio,4,4,5,4,3,2,1,3,3
41,Gangplank,1,1,2,3,1,5,4,5,4
86,Garen,0,4,1,0,2,0,3,4,3
150,Gnar,4,3,4,3,2,4,4,3,3
79,Gragas,5,4,5,5,4,3,2,4,3
104,Graves,1,2,1,2,2,2,5,4,5
887,Gwen,0,2,0,1,1,1,5,3,5
120,Hecarim,4,4,3,2,3,0,4,3,4
74,Heimerdinger,1,0,4,4,2,5,5,4,5
910,Hwei,2,0,4,5,4,5,3,4,4
